promotion_id,client_email,telephone,promotion,responded
123,Mariam.Campos@example.com,,Oreo,YES
124,Darcey.Robles@example.com,,Colgate,YES
125,,705-521-6039,RedBull,YES
126,Everett.Fitzpatrick@example.com,,Oreo,YES
127,Ted.Wiggins@example.com,,Kit-Kat,YES
128,Nelson.Huff@example.com,169-619-4582,Coca-Cola,YES
129,Aoife.Davidson@example.com,628-333-9139,RedBull,YES
130,Liana.Baldwin@example.com,,Kraft Cheese,YES
131,Nancy.Blair@example.com,434-174-7916,Gatorade,NO
132,Saoirse.Keller@example.com,699-966-4749,Gatorade,YES
133,Traci.Banks@example.com,313-374-6903,Kit-Kat,NO
134,,114-507-5478,Coca-Cola,YES
135,Miriam.Pacheco@example.com,401-464-5796,Kraft Cheese,YES
136,,508-390-8347,Gatorade,YES
137,,142-470-3907,Oreo,YES
138,Gareth.Sanford@example.com,161-842-7749,Kit-Kat,NO
139,,190-234-9749,Dove,YES
140,,396-900-5179,Oreo,NO
141,,870-909-4612,Dove,YES
142,Kara.Shelton@example.com,,Netflix,NO
143,Arjun.Dejesus@example.com,693-790-8692,Dove,NO
144,Bridget.Oneill@example.com,,Coca-Cola,NO
145,,886-278-8764,Gatorade,NO
146,,574-869-4715,Gatorade,NO
147,Danny.Knapp@example.com,665-657-4948,Coca-Cola,NO
148,,986-281-7506,Kit-Kat,NO
149,Fletcher.Moreno@example.com,,Netflix,NO
150,Trinity.Mora@example.com,,Kit-Kat,NO
151,Brenda.Ingram@example.com,,Colgate,NO
152,Phoebe.Rodriguez@example.com,,Gatorade,NO
153,Katrina.Foster@example.com,497-544-5065,Kit-Kat,NO
154,,178-910-8863,Coca-Cola,NO
155,Larissa.Perez@example.com,742-168-6071,Colgate,NO
156,Polly.Reyes@example.com,296-740-3450,Gatorade,NO
157,Annalise.Stephens@example.com,,Dove,NO
158,Marissa.Hayes@example.com,365-359-3043,Oreo,NO
159,Sahil.Lyons@example.com,,Oreo,NO
160,,406-161-3681,Colgate,NO
161,Brooke.Barron@example.com,715-588-5341,Colgate,NO
162,,335-679-5225,Netflix,NO
163,,270-525-3291,Gatorade,YES
164,Clifford.Mcgee@example.com,,Coca-Cola,NO
165,Hafsah.Booker@example.com,,Dove,NO
166,Amir.Clark@example.com,924-287-4068,Kraft Cheese,NO
167,Herman.Knowles@example.com,,Colgate,NO
168,,416-772-8288,Oreo,NO
169,Lawson.Levine@example.com,785-936-5286,Gatorade,NO
170,Emre.Everett@example.com,,Dove,NO
171,Casey.Finley@example.com,306-893-4689,RedBull,NO
172,Kate.Cline@example.com,,Kit-Kat,NO
173,Lucas.Mcdowell@example.com,,Dove,NO
174,,885-134-1740,RedBull,NO
175,,901-513-9962,Colgate,NO
176,,488-382-1416,Oreo,NO
177,,717-961-9368,RedBull,NO
178,Sandra.Bowman@example.com,,Kit-Kat,NO
179,Rishi.Barron@example.com,331-128-4346,Pepsi,NO
180,Polly.Reyes@example.com,296-740-3450,Kit-Kat,NO
181,Lucia.Cisneros@example.com,,Gatorade,NO
182,Luqman.Carrillo@example.com,124-533-2523,Coca-Cola,YES
183,,497-544-5065,Dove,YES
184,Cecilia.Edwards@example.com,,Pepsi,NO
185,Oliver.Garner@example.com,937-976-2511,Dove,NO
186,,111-862-3502,Colgate,NO
187,Gabriela.Norton@example.com,138-968-6467,Dove,NO
188,Alana.Koch@example.com,576-828-7913,Coca-Cola,NO
189,Tiana.Decker@example.com,,RedBull,NO
190,,176-108-4411,Netflix,NO
191,,533-397-5445,Kraft Cheese,NO
192,,868-828-4315,Gatorade,NO
193,Harvey.Guerrero@example.com,,Pepsi,YES
194,Junior.Schwartz@example.com,,Coca-Cola,NO
195,,804-245-1465,Pepsi,NO
196,,125-993-7660,Dove,NO
197,,139-396-1336,Oreo,NO
198,Macie.Payne@example.com,782-737-6408,Kit-Kat,NO
199,Martin.Perry@example.com,586-420-6418,Gatorade,NO
200,,491-961-7709,Kraft Cheese,NO
